name,description,long_description,author,tags,id,input_parameters,upload_options
Deep Molecule Property Optimiser,"Deep Molecular Optimization aims to replicate a chemist’s intuition to produce molecules with desirable properties from a given starting molecule. Here, three ADMET properties are optimized simultaneously (logD, solubility, and clearance) from a given starting molecule in SMILES representation. This is achieved with graph-to-graph translation model HierG2G which has state-of-the-art performance in molecular optimization.","<p>Generates new molecules with desirable properties given a starting molecule, essentially replicating a chemist's intuition to optimize molecular properties, accelerating drug discovery<br><br><span style=""font-weight: bold"">Example use case: </span>molecular optimization for finding drug candidates<br><br><span style=""font-weight: bold"">Limitations: </span>works with 3 ADMET properties: logD, solubility and clearance<br><br><span style=""font-weight: bold"">Technology: </span>Message passing neural network<br><br><span style=""font-weight: bold"">Metrics: </span><span style=""text-decoration: underline; color: #0088FF""><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7980633/table/Tab1/?report=objectonly"" target=""_blank"" rel=""noreferrer"">As reported by He et al.</a></span>&nbsp;</p>",AstraZeneca - MAI,"['Generation', 'NLP', 'Drug', 'Drug Discovery', 'csv', 'Cheminformatics']",630e761f005a3551c588e5d9,"[{'default_value': 10, 'increment': 1, 'input_type': 'slider', 'max_value': 50, 'max_value_included': True, 'min_value': 10, 'min_value_inclusive': True, 'name': 'num_samples', 'title': 'Number of molecules to generate', 'tooltip': 'How many molecules do you want to generate for each of your provided molecules', 'type': 'integer'}, {'default_value': False, 'input_type': 'checkbox', 'name': 'generate_ims', 'title': 'Draw generated molecules', 'optional': True, 'tooltip': 'Select this if you want to have images of the generated molecules included in your results'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': 'Your input data should be .csv or .txt and comma-separated. And, your input data must have the following column headings:\n1. ""Source_Mol"" (Your source molecule in SMILES format),\n2. ""Source_Mol_LogD"" (Your source molecule’s logD e.g. 2.52340477180304),\n3. ""Target_Mol_LogD"" (The LogD you want your molecule to have),\n4. ""Source_Mol_Solubility"" (Your source molecule’s solubility e.g. 1.86827115391515),\n5. ""Target_Mol_Solubility"" (The solubility you want your molecule to have),\n6. ""Source_Mol_Clint"" (Your source molecule’s clearance e.g. 2.075152704),\n7. ""Target_Mol_Clint"" (The clearance you want your molecule to have). ', 'demoDataDetails': {'description': 'A subset of 20 molecules from the data provided in “mmp_prop.csv” from the code’s source repository.', 'fileName': 'input_molecules.csv', 'filePath': 'apps/deep_molecular_optimisation/resources/input_molecules.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/MolecularAI/deep-molecular-optimization/blob/main/data/chembl_02/mmp_prop.csv'}], 'previewFileName': 'apps/deep_molecular_optimisation/resources/input_molecules.csv'}, 'disabled': False, 'name': 'input_file', 'requireValidation': True, 'supportsPreview': True, 'title': 'Upload Source Molecules', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}], 'validationRules': {'columns': {'columnsList': [{'allowedTypes': ['str'], 'name': 'Source_Mol'}, {'allowedTypes': ['float'], 'name': 'Source_Mol_LogD'}, {'allowedTypes': ['float'], 'name': 'Target_Mol_LogD'}, {'allowedTypes': ['float'], 'name': 'Source_Mol_Solubility'}, {'allowedTypes': ['float'], 'name': 'Target_Mol_Solubility'}, {'allowedTypes': ['float'], 'name': 'Source_Mol_Clint'}, {'allowedTypes': ['float'], 'name': 'Target_Mol_Clint'}]}}}]"
GenNet: Interpretable Neural Network Framework for Genetics,"Framework for Interpretable Neural Networks for Genetics.
","<p><span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 19.2;font-family: Poppins, sans-serif;"">You can use GenNet to create neural networks specifically for genetics. GenNet gives you the ability to decide what knowledge should be connected to what.</span>&nbsp;</p>
","van Hilten, A., Kushner, S.A., Kayser, M. et al.","['bim', 'bed', 'fam', 'Genomics']",630f70889d02186b18f3af18,"[{'default_value': 50, 'increment': 1, 'input_type': 'slider', 'max_value': 1000, 'max_value_included': True, 'min_value': 1, 'min_value_inclusive': True, 'name': 'epochs', 'title': 'Epoch', 'tooltip': 'Epoch means one complete pass of the training dataset through the algorithm.', 'type': 'integer'}, {'default_value': 0.001, 'increment': 0.0001, 'input_type': 'slider', 'max_value': 0.01, 'max_value_included': True, 'min_value': 0.0001, 'min_value_inclusive': True, 'name': 'learning_rate', 'title': 'Learning Rate', 'tooltip': 'Learning rate parameter controls the weights of neural network with respect to the loss gradient.', 'type': 'float'}, {'default_value': 0.01, 'increment': 0.01, 'input_type': 'slider', 'max_value': 0.99, 'max_value_included': True, 'min_value': 0.01, 'min_value_inclusive': True, 'name': 'L1_value', 'title': 'L1 Value', 'tooltip': 'L1 regularization is a method that penalizes the weight of individual parameters in the model.', 'type': 'float'}, {'default_value': 50, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 1, 'min_value_inclusive': True, 'name': 'patience', 'title': 'Patience Value', 'tooltip': 'The patience value specify that how many epochs it should continue after the loss stopped from decreasing', 'type': 'integer'}, {'default_value': {'label': 'GRCh37', 'value': 'GRCh37'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'assmbly_vep_version', 'options': [{'label': 'GRCh38', 'value': 'GRCh38'}, {'label': 'GRCh37', 'value': 'GRCh37'}], 'title': 'Assembly Version', 'tooltip': 'Please specify the assembly version of Homo Sapiens genome that is used in experiment'}]","[{'allowedFormats': {'title': '.bim', 'value': '', 'fileExtensions': ['bim']}, 'dataStructure': 'Extended variant information file. A text file with no header line, and one line per variant with the following six fields:\nChromosome code\nVariant identifier\nBase-pair coordinate\nAllele 1\nAllele 2\nExample:\n16\t16:60686_C_A\t60686\t60686\tC\tA\n<strong>Reference:</strong>\nhttps://www.cog-genomics.org/plink/1.9/formats', 'demoDataDetails': {'description': 'Demo .bim file from GenNet GitHub repository page.', 'fileName': 'GenNet_simulation.bim', 'filePath': 'apps/gennet/resources/GenNet_simulation.bim', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/ArnovanHilten/GenNet/tree/master/examples/A_to_Z/plink'}]}, 'disabled': False, 'name': 'bim_file', 'title': 'Upload .bim file', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}, {'allowedFormats': {'title': '.bed', 'value': '', 'fileExtensions': ['bed']}, 'dataStructure': ""(PLINK binary biallelic genotype table). Primary representation of genotype calls at biallelic variants. Must be accompanied by .bim and .fam files. Do not confuse this with the UCSC Genome Browser's BED format, which is totally different.\n<strong>Reference:</strong>\nhttps://www.cog-genomics.org/plink/1.9/formats"", 'demoDataDetails': {'description': 'Demo .bed file from GenNet GitHub repository page.', 'fileName': 'GenNet_simulation.bed', 'filePath': 'apps/gennet/resources/GenNet_simulation.bed', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/ArnovanHilten/GenNet/tree/master/examples/A_to_Z/plink'}]}, 'disabled': False, 'name': 'bed_file', 'title': 'Upload .bed file', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}, {'allowedFormats': {'title': '.fam', 'value': '', 'fileExtensions': ['fam']}, 'dataStructure': ""(PLINK sample information file).Sample information file accompanying a .bed binary genotype table.A text file with no header line, and one line per sample with the following six fields:\nFamily ID\nWithin-family ID ('IID'; cannot be '0')\nWithin-family ID of father ('0' if father isn't in dataset)\nWithin-family ID of mother ('0' if mother isn't in dataset)\nSex code ('1' = male, '2' = female, '0' = unknown)\nPhenotype value ('1' = control, '2' = case, '-9'/'0'/non-numeric = missing data if case/control)\nExample:\nfamily_1\tsample_1\t0\t0\t0\t1\n<strong>Reference:</strong>\nhttps://www.cog-genomics.org/plink/1.9/formats"", 'demoDataDetails': {'description': 'Demo .fam file from GenNet GitHub repository page.', 'fileName': 'GenNet_simulation.fam', 'filePath': 'apps/gennet/resources/GenNet_simulation.fam', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/ArnovanHilten/GenNet/tree/master/examples/A_to_Z/plink'}]}, 'disabled': False, 'name': 'fam_file', 'title': 'Upload .fam file', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Enformer: Gene Expression Prediction tool from DNA Sequence (Variant Scoring),Enformer is a gene expression prediction tool from DNA sequence through the use of a deep learning architecture.,"<p>There is a significant unsolved problem about how non-coding DNA regulates gene expression in many cell types, and important downstream applications in human genetics rely on improved solutions. Enformer is a deep learning architecture that can incorporate data from long-distance interactions (up to 100 kb apart) in the genome. Predicting the impact of genetic variations on cell-type-specific gene expression is a key objective of this app.</p>
<p><span style=""font-weight: bold"">Example use case: </span>Variant effect prediction</p>
<p><span style=""font-weight: bold"">Technology: </span>Neural Network, Transformers</p>
<p><span style=""font-weight: bold"">Limitation: </span>Pretrained models created based on human and mouse genomes only.</p>
<p><span style=""font-weight: bold"">Metrics: </span>Some metrics related to research can be found <span style=""text-decoration: underline; color: #0088FF""><a href=""https://www.nature.com/articles/s41592-021-01252-x#Sec8"" target=""_blank"" rel=""noreferrer"">here</a></span>.</p>
<p><span style=""font-weight: bold; font-style: italic; text-decoration: underline"">Note:</span><span style=""font-weight: bold; font-style: italic""> ""Select Targets"" </span>section below is optional!</p>",DeepMind,['Transcriptomics'],62f0df20c9e6995b5152666e,,"[{'allowedFormats': {'fileExtensions': ['vcf.gz, vcf'], 'title': '.vcf.gz/.vcf', 'value': ''}, 'dataStructure': 'VCF stands for Variant Call Format. It is a text file format that is used to represent SNP, indel, and structural variation calls. If REF or ALT columns contain <.> in the VCF file, program will automatically skip these variant lines.', 'demoDataDetails': {'description': 'Demo data is used for representation as in the original notebook.', 'fileName': 'clinvar.vcf.gz', 'filePath': 'apps/enformer/resources/clinvar.vcf.gz', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/deepmind/deepmind-research/blob/master/enformer/enformer-usage.ipynb'}]}, 'disabled': False, 'name': 'vcf_file', 'title': 'Upload VCF File', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
DeepCRISPR: Off Target sgRNA Cleavage Profile Prediction,"DeepCRISPR, is an efficient and extendable computational model for prediction of CRISPR sgRNA off-target profile which would facilitate the optimized design of sgRNAs with high
sensitivity and specificity. DeepCRISPR was trained on two different cell types: 293-related cell lines (18 sgRNAs) and K562 t (12sgRNAs)","<p>An efficient and extendable computational model for prediction of CRISPR sgRNA off-target profile, facilitating optimized sgRNA design with high sensitivity and specificity<br><br><strong>Example use case: </strong>Epigenetics research<br><br><strong>Limitations: </strong>Different off-target assays may have different sensitivities<br><br><strong>Technology: </strong>Convolutional neural network-based deep learning network, trained on two different cell types: 293-related cell lines (18 sgRNAs) and K562 t (12 sgRNAs)<br><br><strong>Metrics: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/3"" target=""_blank"">As reported by Chuai et al.</a>&nbsp;</p>
","Guohui Chuai, Qi Liu et al.","['Classification', 'Regression', 'CRISPR', 'Synthetic Biology']",63221a9e6a20e3ac924a7b80,"[{'default_value': {'label': 'Both', 'value': 'Both'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'model', 'options': [{'label': 'Both', 'value': 'Both'}, {'label': 'Regression', 'value': 'Regression'}, {'label': 'Classification', 'value': 'Classification'}], 'title': 'Prediction Method', 'tooltip': 'Selecting regression will return a value between 0 and 1 for each efficacy prediction. Selecting classification will return either 1 or 0 for each efficacy prediction. Selecting both will return both classification and regression predictions.'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': 'Your data requires the following column headings: \n\n1. target_seq\n2. target_ctcf\n3. target_dnase\n4. target_h3k4me3\n5. target_rrbs\n6. off_target_seq\n7. off_target_ctcf\n8. off_target_dnase\n9. off_target_h3k4me3\n10. off_target_rrbs\nEpigenetic features are represented by sequences of As and Ns where A represents 1 meaning a signal located and N represents 0 meaning no signal. For example:\n+------------+------+------+\n | target_seq    | ctcf      | rrbs     |\n+------------+------+------+\n | CTT…                | AAA…   | NNN…   |\n+------------+------+------+', 'demoDataDetails': {'description': 'Example data containing a list of sgRNAs with epigenetic features taken from the source code’s github. However, we have removed the label column from the original and added appropriate column headings for clarity.', 'fileName': 'eg_reg_off_target.csv', 'filePath': 'apps/deepcrispr_offtarget/eg_reg_off_target.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/bm2-lab/DeepCRISPR/tree/master/examples'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Upload Source Molecules', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
DeepCRISPR: On Target sgRNA Knockout Efficacy Prediction,"DeepCRISPR, is an efficient and extendable computational model for prediction of CRISPR sgRNA on-target knockout efficacy which would facilitate the optimized design of sgRNAs with high
sensitivity and specificity","<p>An efficient and extendable computational model for prediction of CRISPR sgRNA on-target knockout efficacy, facilitating optimized sgRNA with high sensitivity and specificity<br><br><strong>Example use case: </strong>Epigenetics research<br><br><strong>Limitations: </strong>Focuses on conventional NGG-based sgRNA design for SpCas9 in humans<br><br><strong>Technology: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/1"" target=""_blank"">Convolutional neural network-based deep learning network</a>, trained on ~15,000 sgRNAs containing 1071 genes from <br>four different cell lines (hct116, hek293t, hela, and hl60) with redundancy removed and can generalise well in new cell types for <br>sgRNA on-target knockout efficacy prediction<br><br><strong>Metrics: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/2"" target=""_blank"">As reported by Chuai et al. </a>&nbsp;</p>
","Guohui Chuai, Qi Liu et al.","['Classification', 'Regression', 'CRISPR', 'Synthetic Biology']",63225c416a20e3ac924a7b90,"[{'default_value': {'label': 'Both', 'value': 'Both'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'model', 'options': [{'label': 'Both', 'value': 'Both'}, {'label': 'Regression', 'value': 'Regression'}, {'label': 'Classification', 'value': 'Classification'}], 'title': 'Prediction Method', 'tooltip': 'Selecting regression will return a value between 0 and 1 for each efficacy prediction. Selecting classification will return either 1 or 0 for each efficacy prediction. Selecting both will return both classification and regression predictions.'}]","[{'allowedFormats': {'title': '.csv', 'value': 'text/csv', 'fileExtensions': ['csv']}, 'dataStructure': 'This app allows for sequence-only prediction or full-featured prediction. Data for full featured prediction contains epigenetic features and is structured as follows where A represents 1 meaning a signal located and N represents 0 meaning no signal:\n\n+------------+------+-------+---------+------+\n | target_seq    | ctcf      | dnase   | h3k4me3  | rrbs     |\n+------------+------+-------+---------+------+\n | CTT…                | AAA…   | AAA…     | AAA…         | NNN…   |\n+------------+------+-------+---------+------+\nYou must have the exact column headings as above for the app to work. However, they can be in any order.\n\nData for sequence only predictions only requires the “target_seq” column. Note, sequence-only prediction is only available for regression.', 'demoDataDetails': {'description': 'Example data containing a list of sgRNAs with epigenetic features taken from the source code’s github. However, we have removed the label column from the original and added appropriate column headings for clarity.', 'fileName': 'eg_reg_on_target.csv', 'filePath': 'apps/deepcrispr_ontarget/resources/eg_reg_on_target.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/bm2-lab/DeepCRISPR/tree/master/examples'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Upload Source Molecules', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Single Cell RNA-Seq Differential Expression,Deep generative modeling for single-cell transcriptomics,"<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Trains an scVI variational auto encoder to identify differential expression in genes between observations. Data should be in .h5ad, .h5, or .csv format. Uses the Anndata python package, which natively supports .h5ad meaning that file format is most suitable.</span></p>
<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif; font-weight: bold"">Example use case: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Differential expression analysis is one of the primary downstream analyses of single cell RNA-seq data to identify gene markers for cell type detection and also provide inputs to other secondary analyses. </span></p>",scVI-Tools,"['DGE Analysis', 'Single-Cell Bioinformatics']",632483dc4994b305333ba772,"[{'default_value': 1500, 'increment': 100, 'input_type': 'slider', 'max_value': 10000, 'max_value_included': True, 'min_value': 1000, 'min_value_inclusive': True, 'name': 'top_n', 'title': 'Filter Top N Genes', 'tooltip': 'Analyses differential expression and generates clusters using the top N genes by variability', 'type': 'integer'}, {'default_value': 'diff_exp', 'hidden': True, 'input_type': 'user_input', 'name': 'app_name', 'title': 'app_name', 'tooltip': 'app_name', 'type': 'object'}, {'default_value': 'diff_exp', 'hidden': True, 'input_type': 'user_input', 'name': 'workflow_name', 'title': 'workflow_name', 'tooltip': 'workflow_name', 'type': 'text'}, {'default_value': 400, 'increment': 10, 'input_type': 'slider', 'max_value': 1000, 'max_value_included': True, 'min_value': 50, 'min_value_inclusive': True, 'name': 'epochs', 'title': 'Epochs', 'tooltip': 'Number of epochs used to train deep cluster model', 'type': 'integer'}, {'default_value': {'label': 'cell_type', 'value': 'cell_type'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'group_by', 'options': [], 'title': 'Group by for differential expression', 'tooltip': 'Choose variable to group by for differential expression. If not set then differential expression will not be performed.'}, {'default_value': {'label': 'cell_source', 'value': 'cell_source'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'batch_effect', 'options': [], 'title': 'Batch effect correction', 'tooltip': 'Choose variable to correct for batch effects'}]","[{'allowedFormats': {'fileExtensions': ['csv', 'h5ad', 'h5'], 'title': '.h5ad, .h5, .csv (multiple files)', 'value': ''}, 'dataStructure': 'Data should be in .h5ad format. Columns for covariate comparisons should be included in the dataset.', 'demoDataDetails': {'description': 'Combined single cell and single nuclei RNA-Seq data of 485K cardiac cells with annotations. Dataset was filtered down randomly to 20k cells.', 'fileName': 'heart_atlas.h5ad', 'filePath': 'apps/scvi_tools/resources/heart_atlas.h5ad', 'fileSource': [{'title': 'Data Source', 'url': 'https://www.heartcellatlas.org/#DataSources'}], 'previewFileName': 'apps/scvi_tools/resources/heart_sample.h5ad'}, 'disabled': False, 'name': 'train_path', 'supportsPreview': True, 'title': 'Single Cell RNA-Seq Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemProp: Solubility Prediction of Small Molecules,"App uses ChemProp machine learning library to calculate solubilities of a list of SMILES strings. The output is a .CSV file with the predicted log(S) solubility values.

The app was trained on the AqSolDB database of aqueous solubility.","<p>Solubility model trained on AqSolDB using ChemProp<br><br><strong>Example use case: </strong>Filtering out drug candidates based on solubility<br><br><strong>Limitations: </strong>Applicable for organic molecules only, as the training dataset consisted only of organic molecules<br><br><strong>Technology: </strong>Message passing neural networks<br><br><strong>Metrics: </strong>On test data; Mean average error = 0.66; RMSE = 0.99; R<sup>2</sup>= 0.82</p>
",ChemProp,"['Drug Discovery', 'csv', 'Cheminformatics']",63358e696b12ad0623bb6abb,,"[{'allowedFormats': {'title': '.csv', 'value': 'text/csv', 'fileExtensions': ['csv']}, 'dataStructure': ""File should contain only one column with header('smiles'), rows represents small molecules in SMILES format."", 'demoDataDetails': {'description': 'Demo SMILES in .CSV format from AqSolDB paper. File consists of only one column, rows represents small molecules in SMILES format.', 'fileName': 'input_smiles.csv', 'filePath': 'apps/solubility_prediction/resources/input_smiles.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OVHAW8'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Upload SMILES File', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
ChemProp: Molecular Property Prediction Training App,"This app provides an interface for training models on ChemProp. The user inputs are the .CSV file that contains SMILES and molecular property columns, a .CSV with only SMILES column on which to predict the molecular property.","<p>Classification model training for molecular property prediction by analyzing learned molecular representations<br><br><strong>Example use case: </strong>drug toxicity prediction during lead generation<br><br><strong>Technology: </strong>Message passing neural networks</p>
",ChemProp,"['Classification', 'Drug Discovery', 'csv', 'Cheminformatics']",6335e2096b12ad0623bb6ae1,"[{'default_value': 0.2, 'increment': 1, 'input_type': 'slider', 'max_value': 0.9, 'max_value_included': True, 'min_value': 0.1, 'min_value_inclusive': True, 'name': 'test_size', 'title': 'Test Ratio', 'tooltip': 'Test ratio of the dataset. By default, 20% of the dataset will split for the test dataset', 'type': 'float'}, {'default_value': {'label': 'rdkit_2d_normalized', 'value': 'rdkit_2d_normalized'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'featurizer', 'options': [{'label': 'None', 'value': 'None'}, {'label': 'rdkit_2d_normalized', 'value': 'rdkit_2d_normalized'}], 'title': 'Featurizer', 'tooltip': 'Generates pre-normalised molecular features using RDKit'}, {'default_value': {'label': 'Classification', 'value': 'classification'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'type', 'options': [{'label': 'Regression', 'value': 'regression'}, {'label': 'Classification', 'value': 'classification'}], 'title': 'Type of the Model', 'tooltip': 'Please specify the type of the model to be built in your experiment'}, {'default_value': 10, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 1, 'min_value_inclusive': True, 'name': 'epochs', 'title': 'Epoch', 'tooltip': 'Epoch means one complete pass of the training dataset through the algorithm. Please specify epoch number for your experiment.', 'type': 'integer'}, {'default_value': 1, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 1, 'min_value_inclusive': True, 'name': 'folds', 'title': 'Cross Validation Folds', 'tooltip': 'Please specify a number that splits your dataset K number of groups.', 'type': 'integer'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': ""File must contain 'SMILES' and 'Molecular Property' columns respectively. Rows in first column represents molecules in SMILES format and rows in second column represent property: 0 (False) or 1 (True)."", 'demoDataDetails': {'description': 'Demo training file in .CSV format from ChemProp repository with toxicity property.', 'fileName': 'dataset_train.csv', 'filePath': 'apps/chemprop_training/resources/input.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://www.kaggle.com/code/mmelahi/physiology-clintox/notebook'}]}, 'disabled': False, 'name': 'train_file', 'title': 'Upload a training dataset file', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}, {'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': ""File should contain only 'SMILES' column. Rows represents molecules in SMILES format that will be used in prediction phase."", 'demoDataDetails': {'description': 'Demo prediction file in .CSV format includes molecules in SMILES format from various sources.', 'fileName': 'pred.csv', 'filePath': 'apps/chemprop_training/resources/pred.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/chemprop/chemprop'}]}, 'disabled': False, 'name': 'pred_file', 'title': 'Upload a File for Prediction', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
C. Elegans Cell Annotation: Single Cell Inference & Retraining,scANVI model trained on C. Elegans dataset,<p>scANVI model trained on C. Elegans dataset from: “A lineage-resolved molecular atlas of C. elegans embryogenesis at single-cell resolution”. Transcriptomes covering 89701 cells and 20222 genes</p>,scVI-Tools,"['Classification', 'Single-Cell Bioinformatics']",633c3df9eaafa791a6c10dfd,"[{'default_value': 'inference', 'input_type': 'dropdown', 'name': 'task_flag', 'options': [{'label': 'Infer', 'value': 'inference'}, {'label': 'Retrain', 'value': 'retraining'}], 'title': 'Infer Only or Retrain Model', 'tooltip': 'Generate predictions only, or train a new model on this data', 'type': 'object'}, {'default_value': '63388ad43502af80d4c8fe5e', 'hidden': True, 'input_type': 'user_input', 'name': 'source_job_id', 'title': 'source_job_id', 'tooltip': 'NA', 'type': 'object'}, {'default_value': 'scanvi_auto', 'hidden': True, 'input_type': 'user_input', 'name': 'workflow_name', 'title': 'workflow_name', 'tooltip': 'workflow_name', 'type': 'text'}, {'default_value': 100, 'disabled': True, 'increment': 10, 'input_type': 'slider', 'max_value': 400, 'max_value_included': True, 'min_value': 10, 'min_value_inclusive': True, 'name': 'ann_epochs', 'title': 'Max Epochs', 'tooltip': 'Maximum Epochs for Retraining', 'type': 'integer'}]","[{'allowedFormats': {'fileExtensions': ['csv', 'h5ad', 'h5'], 'title': '.h5ad, .h5, .csv', 'value': ''}, 'dataStructure': 'Input data should be in .h5ad format. Gene names, along with the name of the target feature, should be same as those used in training dataset.', 'demoDataDetails': {'description': 'C. Elegans transcriptomes covering 89701 cells and 20222 genes.', 'fileName': 'elegans.h5ad', 'filePath': 'apps/scvi_tools/resources/elegans.h5ad', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/Munfred'}], 'previewFileName': 'apps/scvi_tools/resources/elegans_sample.h5ad'}, 'disabled': False, 'name': 'train_path', 'supportsPreview': True, 'title': 'Single Cell RNA-Seq Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
PBMC Annotation: Single Cell Inference & Retraining,scANVI model trained on Purified PBMC dataset,<p>scANVI model trained on Purified PBMC dataset from: “Massively parallel digital transcriptional profiling of single cells”. Transcriptomes covering 68k peripheral blood mononuclear cells.</p>,scVI-Tools,"['Classification', 'Single-Cell Bioinformatics']",633c3ecaeaafa791a6c10dff,"[{'default_value': 'inference', 'input_type': 'dropdown', 'name': 'task_flag', 'options': [{'label': 'Infer', 'value': 'inference'}, {'label': 'Retrain', 'value': 'retraining'}], 'title': 'Infer Only or Retrain Model', 'tooltip': 'Generate predictions only, or train a new model on this data', 'type': 'object'}, {'default_value': '633adc6bb4406eaddfb36c7f', 'hidden': True, 'input_type': 'user_input', 'name': 'source_job_id', 'title': 'source_job_id', 'tooltip': 'NA', 'type': 'object'}, {'default_value': 'scanvi_auto', 'hidden': True, 'input_type': 'user_input', 'name': 'workflow_name', 'title': 'workflow_name', 'tooltip': 'workflow_name', 'type': 'text'}, {'default_value': 100, 'disabled': True, 'increment': 10, 'input_type': 'slider', 'max_value': 400, 'max_value_included': True, 'min_value': 10, 'min_value_inclusive': True, 'name': 'ann_epochs', 'title': 'Max Epochs', 'tooltip': 'Maximum Epochs for Retraining', 'type': 'integer'}]","[{'allowedFormats': {'fileExtensions': ['csv', 'h5ad', 'h5'], 'title': '.h5ad, .h5, .csv', 'value': ''}, 'dataStructure': 'Input data should be in .h5ad format. Gene names, along with the name of the target feature, should be same as those used in training dataset.', 'demoDataDetails': {'description': 'scANVI model trained on Purified PBMC dataset from: “Massively parallel digital transcriptional profiling of single cells”.', 'fileName': 'pbmc_seurat_v4.h5ad', 'filePath': 'apps/scvi_tools/resources/pbmc_seurat_v4_sample.h5ad', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/10XGenomics/single-cell-3prime-paper'}], 'previewFileName': 'apps/scvi_tools/resources/pbmc_seurat_v4_sample.h5ad'}, 'disabled': False, 'name': 'train_path', 'supportsPreview': True, 'title': 'Single Cell RNA-Seq Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
