name,description,long_description
Molecule Toxicity Prediction: ChemBERTa with Clintox Dataset,Toxicity prediction for molecules in SMILES-format using ChemBERTa and the ClinTox dataset.,<p>Toxicity prediction for molecules in SMILES-format using ChemBERTa and the ClinTox dataset.</p>
Pancreas Tumor Segmentation: Medical Image-nnUnet,Tumor identification and segmentation in pancreas based on the automated analysis of CT pancreas scans (3D volumes),"<p>Tumor identification and segmentation in pancreas based on the automated analysis of CT pancreas scans (3D volumes)</p>
"
DeepPurpose-DTI: Deep Learning-based Drug Target Interaction Prediction Tool,DeepPurpose is a pytorch-based deep learning framework that is initiated to provide a simple but powerful toolkit for drug-target interaction (DTI) prediction and its related applications.,"<p>Measures the binding strength of drug molecules to the protein targets<br><br><strong>Example use case: </strong>fundamental for drug discovery supporting drug screening and repurposing<br><br><strong>Technology: </strong>Message passing neural network &amp; Convolutional neural network</p>
"
Stardist2D: Cell detection and segmentation,Automatic detection and segmentation of cells and nuclei in microscopy using Stardist’s algorithms. Works well with fluorescent nuclei images.,"<p>Detection and segmentation of cells and nuclei in microscopy. Works well with fluorescent images.<br><br><strong>Example use case: </strong>image-based cellular research &amp; disease<br><br><strong>Technology: </strong>Convolutional neural network<br><br><strong>Limitations: </strong>Currently only accepts black &amp; white images</p>
"
Neural Forecast: Deep Learning for Time Series Forecasting,"NeuralForecast is a Python library for time series forecasting with deep learning models. It includes benchmark datasets, data-loading utilities, evaluation functions, statistical tests, univariate model benchmarks and SOTA models implemented in PyTorch and PyTorchLightning.","<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Nixtla's neuralforecast is a python library for time series forecasting with deep learning models. This app provides AutoRNN functionality, implemented using PyTorch, PyTorchLightning and Ray. This package automatically tests different settings, identifying over multiple iterations which parameters perform the best. The results for the champion model are then provided. If trained using CPU, then a maximum of 32 time series will be processed, while if trained using GPU a maximum of 128 will be processed instead. Models are trained using all series, meaning that with more series included, performance is likely to improve. Models can be saved, and then applied to similar time series, or trained further.</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif""><br><br></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Please provide data in three columns, in the following order:</span></p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc""><span style=""background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">unique_id for each time series (up to 16 time series can be provided in one file, and trained simultaneously--if unique_id is not included it is assumed that the file contains only one time series)</span></li>
<li style=""list-style-type: disc""><span style=""background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">date-time column can be in any format (date, time, number, other), but must be in ascending order.</span></li>
<li style=""list-style-type: disc""><span style=""background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">value. The value of the time series at each time </span></li></ul>"
Stats Forecast: ARIMA Modelling for Time Series Forecasting,"StatsForecast offers a collection of widely used univariate time series forecasting models, including automatic ARIMA and ETS modeling optimized for high performance using numba. It also includes a large battery of benchmarking models.","<p>StatsForecast offers a collection of widely used univariate time series forecasting models, including automatic ARIMA and ETS modeling optimized for high performance using numba. It also includes a large battery of benchmarking models.</p>"
ML Forecast: Machine Learning for Time Series Forecasting,"mlForecast allows users to apply scikit-learn models, such as random forests or gradient boosting to time series data. Distributed implementations of xgBoost and LightGBM are also available.","<p><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">mlForecast allows users to apply scikit-learn models, such as random forests or gradient boosting to time series data. This particular implementation uses the hyperopt python package, automatically training numerous sklearn random forest, XGBoost, and LightGBM models, identifying over multiple iterations which parameters perform the best. The results for the champion model are then provided. If trained using CPU, then a maximum of 32 time series will be processed, while if trained using GPU a maximum of 128 will be processed instead, and the maximum iterations used to identify the best models will be higher. Models are trained using all series, meaning that with more series included performance is likely to improve. The seasonality parameter can be altered to reflect known cycles in the data (for example, if hourly data that is expected to vary in a regular pattern over a 24 hour period, then a seasonality of 24 may be suitable).A seasonality of 1 implies that no seasonality is included in the mode</span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-size: 14px; font-family: Poppins, sans-serif"">l.<br><br></span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Please provide data in three columns, in the following order:</span></p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">unique_id for each time series (up to 32 time series can be provided in one file, and trained simultaneously--if unique_id is not included it is assumed that the file contains only one time series).</span></li>
<li style=""list-style-type: disc""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">date-time column can be in any format (date, time, number, other), but must be in ascending order.</span></li>
<li style=""list-style-type: disc""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">value. The value of the time series at each time</span></li></ul>"
Deep Molecule Property Optimiser,"Deep Molecular Optimization aims to replicate a chemist’s intuition to produce molecules with desirable properties from a given starting molecule. Here, three ADMET properties are optimized simultaneously (logD, solubility, and clearance) from a given starting molecule in SMILES representation. This is achieved with graph-to-graph translation model HierG2G which has state-of-the-art performance in molecular optimization.","<p>Generates new molecules with desirable properties given a starting molecule, essentially replicating a chemist's intuition to optimize molecular properties, accelerating drug discovery<br><br><span style=""font-weight: bold"">Example use case: </span>molecular optimization for finding drug candidates<br><br><span style=""font-weight: bold"">Limitations: </span>works with 3 ADMET properties: logD, solubility and clearance<br><br><span style=""font-weight: bold"">Technology: </span>Message passing neural network<br><br><span style=""font-weight: bold"">Metrics: </span><span style=""text-decoration: underline; color: #0088FF""><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7980633/table/Tab1/?report=objectonly"" target=""_blank"" rel=""noreferrer"">As reported by He et al.</a></span>&nbsp;</p>"
GenNet: Interpretable Neural Network Framework for Genetics,"Framework for Interpretable Neural Networks for Genetics.
","<p><span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 19.2;font-family: Poppins, sans-serif;"">You can use GenNet to create neural networks specifically for genetics. GenNet gives you the ability to decide what knowledge should be connected to what.</span>&nbsp;</p>
"
Enformer: Gene Expression Prediction tool from DNA Sequence (Variant Scoring),Enformer is a gene expression prediction tool from DNA sequence through the use of a deep learning architecture.,"<p>There is a significant unsolved problem about how non-coding DNA regulates gene expression in many cell types, and important downstream applications in human genetics rely on improved solutions. Enformer is a deep learning architecture that can incorporate data from long-distance interactions (up to 100 kb apart) in the genome. Predicting the impact of genetic variations on cell-type-specific gene expression is a key objective of this app.</p>
<p><span style=""font-weight: bold"">Example use case: </span>Variant effect prediction</p>
<p><span style=""font-weight: bold"">Technology: </span>Neural Network, Transformers</p>
<p><span style=""font-weight: bold"">Limitation: </span>Pretrained models created based on human and mouse genomes only.</p>
<p><span style=""font-weight: bold"">Metrics: </span>Some metrics related to research can be found <span style=""text-decoration: underline; color: #0088FF""><a href=""https://www.nature.com/articles/s41592-021-01252-x#Sec8"" target=""_blank"" rel=""noreferrer"">here</a></span>.</p>
<p><span style=""font-weight: bold; font-style: italic; text-decoration: underline"">Note:</span><span style=""font-weight: bold; font-style: italic""> ""Select Targets"" </span>section below is optional!</p>"
DeepCRISPR: Off Target sgRNA Cleavage Profile Prediction,"DeepCRISPR, is an efficient and extendable computational model for prediction of CRISPR sgRNA off-target profile which would facilitate the optimized design of sgRNAs with high
sensitivity and specificity. DeepCRISPR was trained on two different cell types: 293-related cell lines (18 sgRNAs) and K562 t (12sgRNAs)","<p>An efficient and extendable computational model for prediction of CRISPR sgRNA off-target profile, facilitating optimized sgRNA design with high sensitivity and specificity<br><br><strong>Example use case: </strong>Epigenetics research<br><br><strong>Limitations: </strong>Different off-target assays may have different sensitivities<br><br><strong>Technology: </strong>Convolutional neural network-based deep learning network, trained on two different cell types: 293-related cell lines (18 sgRNAs) and K562 t (12 sgRNAs)<br><br><strong>Metrics: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/3"" target=""_blank"">As reported by Chuai et al.</a>&nbsp;</p>
"
DeepCRISPR: On Target sgRNA Knockout Efficacy Prediction,"DeepCRISPR, is an efficient and extendable computational model for prediction of CRISPR sgRNA on-target knockout efficacy which would facilitate the optimized design of sgRNAs with high
sensitivity and specificity","<p>An efficient and extendable computational model for prediction of CRISPR sgRNA on-target knockout efficacy, facilitating optimized sgRNA with high sensitivity and specificity<br><br><strong>Example use case: </strong>Epigenetics research<br><br><strong>Limitations: </strong>Focuses on conventional NGG-based sgRNA design for SpCas9 in humans<br><br><strong>Technology: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/1"" target=""_blank"">Convolutional neural network-based deep learning network</a>, trained on ~15,000 sgRNAs containing 1071 genes from <br>four different cell lines (hct116, hek293t, hela, and hl60) with redundancy removed and can generalise well in new cell types for <br>sgRNA on-target knockout efficacy prediction<br><br><strong>Metrics: </strong><a href=""https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1459-4/figures/2"" target=""_blank"">As reported by Chuai et al. </a>&nbsp;</p>
"
Single Cell RNA-Seq Differential Expression,Deep generative modeling for single-cell transcriptomics,"<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Trains an scVI variational auto encoder to identify differential expression in genes between observations. Data should be in .h5ad, .h5, or .csv format. Uses the Anndata python package, which natively supports .h5ad meaning that file format is most suitable.</span></p>
<p style=""text-align: start""><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif; font-weight: bold"">Example use case: </span><span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Differential expression analysis is one of the primary downstream analyses of single cell RNA-seq data to identify gene markers for cell type detection and also provide inputs to other secondary analyses. </span></p>"
ChemProp: Solubility Prediction of Small Molecules,"App uses ChemProp machine learning library to calculate solubilities of a list of SMILES strings. The output is a .CSV file with the predicted log(S) solubility values.

The app was trained on the AqSolDB database of aqueous solubility.","<p>Solubility model trained on AqSolDB using ChemProp<br><br><strong>Example use case: </strong>Filtering out drug candidates based on solubility<br><br><strong>Limitations: </strong>Applicable for organic molecules only, as the training dataset consisted only of organic molecules<br><br><strong>Technology: </strong>Message passing neural networks<br><br><strong>Metrics: </strong>On test data; Mean average error = 0.66; RMSE = 0.99; R<sup>2</sup>= 0.82</p>
"
ChemProp: Molecular Property Prediction Training App,"This app provides an interface for training models on ChemProp. The user inputs are the .CSV file that contains SMILES and molecular property columns, a .CSV with only SMILES column on which to predict the molecular property.","<p>Classification model training for molecular property prediction by analyzing learned molecular representations<br><br><strong>Example use case: </strong>drug toxicity prediction during lead generation<br><br><strong>Technology: </strong>Message passing neural networks</p>
"
C. Elegans Cell Annotation: Single Cell Inference & Retraining,scANVI model trained on C. Elegans dataset,<p>scANVI model trained on C. Elegans dataset from: “A lineage-resolved molecular atlas of C. elegans embryogenesis at single-cell resolution”. Transcriptomes covering 89701 cells and 20222 genes</p>
PBMC Annotation: Single Cell Inference & Retraining,scANVI model trained on Purified PBMC dataset,<p>scANVI model trained on Purified PBMC dataset from: “Massively parallel digital transcriptional profiling of single cells”. Transcriptomes covering 68k peripheral blood mononuclear cells.</p>
Mouse Spleen & Lymph Cell Annotation: Single Cell Inference & Retraining,scANVI model trained on Mouse Spleen and Lymph Nodes Cite Seq dataset,<p>scANVI model trained on Mouse Spleen and Lymph Nodes Cite Seq dataset from: “Joint probabilistic modeling of single-cell multi-omic data with totalVI”. Immune cells from murine spleen and lymph nodes</p>
Drug Repurposing Knowledge Graph,"DRKG is a biological knowledge graph relating genes, compounds, diseases, side effects and more.","Drug Repurposing Knowledge Graph (DRKG) is a comprehensive biological knowledge graph relating genes, compounds, diseases, biological processes, side effects and symptoms. DRKG includes information from six existing databases including DrugBank, Hetionet, GNBR, String, IntAct and DGIdb, and more. It includes 97,238 entities belonging to 13 entity-types; and 5,874,261 triplets belonging to 107 edge-types. These 107 edge-types show a type of interaction between one of the 17 entity-type pairs (multiple types of interactions are possible between the same entity-pair). See information on how to use DRKG here: https://bit.ly/3CcQCB5"
Reinvent: DRD2 Use Case,This app explores new compounds for the DRD2 receptor by using reinforcement learning.,"<p>Reinvent library consists of jupyter notebooks related to in silico drug discovery applications including data preparation and training steps. The aim of this app is to show the use case for finding new molecules for the DRD2 receptor with Reinforcement Learning. Inputs are two .csv files that SMILES strings should be provided. Please see the data structure below for more information. For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps.<br> <br><strong>Example Use Case: </strong>Finding new molecules for DRD2 receptor<br><br><strong>Limitation: </strong>Some of the parameters are kept default like in the demo notebook.<br><br><strong>Technology:</strong> Reinforcement Learning<br><br><strong>Metrics: </strong>Some of the metrics shown in the <a href=""https://github.com/MolecularAI/ReinventCommunity/blob/master/notebooks/Complete_Use-Case-DRD2_Demo.ipynb"" target=""_blank"">demo notebook</a>&nbsp;</p>
"
UNet2D Segmentation Training Pipeline,This pipeline will train a UNet2D segmentation model that produces image masks that to represent the segmentations.,"<p>This pipeline will train a UNet2D segmentation model that produces image masks that to represent the segmentations. The pipeline can augment the training dataset to increase model performance if you wish. To train a model you will need a set of source images and a set of target segmentation images. The target segmentation images will be binary images that are segmentation masks of the source images, each source image must have an associated target image.  <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br><br><strong>Example use case:</strong> Highlight blood vessels in a retinal image.<br><br><strong>Technology: </strong>UNet2D is an encoder-decoder network architecture.<br><br><strong>Limitations: </strong>The maximum image input size UNet2D can take is 512x512, your images will be converted to patches if they are bigger than 512x512. Currently only greyscale images are supported.</p>
"
Unet2D Multilabel Segmentation Training Pipeline,This pipeline will train a UNet2D multilabel segmentation model that produces image masks that represent the segmentations.,"<p>This pipeline will train a UNet2D multilabel segmentation model that produces image masks that represent the segmentations. The pipeline can augment the training dataset to increase model performance if you wish. To train a model you will need a set of source images and a set of target segmentation images. The target segmentation images will be that are segmentation masks of the source images where each pixel value is a label, each source image must have an associated target image.  <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br><br><strong>Example use case: </strong>Highlight various parts of cells<br><br><strong>Technology: </strong>U-Net Encoder-decoder<br><br><strong>Limitations:</strong> The maximum image input size UNet2D can take is 512x512, your images will be converted to patches if they are bigger than 512x512. Currently only greyscale images are supported&nbsp;</p>
"
COVID-Net: COVID-19 Detection from Chest X-ray,Covid19 detection from X-ray,"<p>Prediction of COVID-19 diagnosis, pneumonia probability, airspace severity, and disease severity from chest x-ray images<br><br><strong>Example use case: </strong>COVID-19 research<br><br><strong>Tecnology: </strong>Deep convolutional neural network<br> <br><strong>Limitations: </strong>Do not use COVID-Net for self-diagnosis and seek help from your local health authorities<br><br><strong>Metrics: </strong><a href=""https://github.com/lindawangg/COVID-Net#results"" target=""_blank"">As reported by the COVID-Net Open Source Initiative</a>&nbsp;</p>
"
Noise2Void: 2D Image Denoising Training Pipeline,Train a model to denoise your medical images in a self-supervised manner.,"<p>Train a model to denoise your medical images. Noise2Void is a deep-learning method that can be used to denoise many types of images, including microscopy images. It allows denoising of image data in a self-supervised manner, therefore high-quality, low noise equivalent images are not necessary to train this network. This is performed by ""masking"" a random subset of pixels in the noisy image and training the network to predict the values in these pixels. <span style=""color: rgb(0,0,0); background-color: rgb(255,255,255); font-family: Poppins, sans-serif"">Model saving and GPU access available soon.</span><br><br><span style=""font-weight: bold"">Example use case:</span> Train a model to take noisey images and remove noise to make the image clearer without needing examples of the clear images to train the model<br><br><span style=""font-weight: bold"">Technology:</span> U-Net<br><br><span style=""font-weight: bold"">Limitations:</span> Currently only gray scale images are supported</p>"
Reinvent: Data Preparation Module,"This app provides how to process, analyze, and filter data from ChEMBL or other sources.","<p>This app provides how to process, analyze, and filter data from ChEMBL or other sources. There are several reasons why data used to train a generative model should be pre-processed. Invalid or duplicate entries need to be removed. Unusual compounds that are clearly not drug-like need to be excluded (too big, reactive groups and etc.) and rare tokens can be removed. There are some rare compounds that can be considered outliers and excluding them frees up space in the vocabulary, making it smaller. Input is SMILES strings in <strong><em>.smi</em></strong> format. Output is filtered SMILES in <strong><em>.csv</em></strong> format that can be used in other Reinvent apps. (e.g. <a href=""https://app.superbio.ai/apps/167?id=636ada2f7d6789757197927a"" target=""_blank"">Reinvent: Create Initial Prior/Agent Generative Model</a>). For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps. <br><br><strong>Example Use Case:</strong> Pre-processing SMILES strings from big sources for downstream analysis.<br><br><strong>Limitation: </strong>Filtering options are kept like in the demo notebook. Other options will be added next versions.</p>
"
Noise2Void: 3D Image Denoising Training Pipeline,Train a model to denoise your 3D medical images in a self-supervised manner.,"<p>Train a model to denoise your 3D medical images. Noise2Void is a deep-learning method that can be used to denoise many types of images, including microscopy images. It allows denoising of image data in a self-supervised manner, therefore high-quality, low noise equivalent images are not necessary to train this network. This is performed by ""masking"" a random subset of pixels in the noisy image and training the network to predict the values in these pixels. The resulting output is a denoised version of the image. <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br><br><strong>Example use case:</strong> Train a model to take noisey images and remove noise to make the image clearer without needing examples of the clear images to train the model<br><br><strong>Technology:</strong> U-Net</p>
"
DeepStorm: High-density Single-molecule Localization Microscopy Image Reconstruction Training,Train Deep Storm for image reconstruction of high-density single-molecule localization microscopy.,"<p>Ultrafast, precise, and parameter-free image reconstruction from high-density single-molecule localization microscopy (SMLM). <span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 13.66;font-family: Poppins, sans-serif;"">Model saving and GPU access available soon.</span> <br><br><strong>Example use case: </strong>Research with single-molecule localization microscopy<br><br><strong>Technology: </strong>U-Net based network without skip connections&nbsp;</p>
"
Reinvent: Create Initial Prior/Agent Generative Model,This application builds an initial generative model for prior/agent based on SMILES data.,"<p>Based on the Create_Model_Demo notebook from the ReinventCommunity repo. If you are planning to train a new model from scratch, this app is the first step of the process. This module creates an initial generative model of prior/agents for the next step (<a href=""https://app.superbio.ai/apps/170?id=636e0620614bfa9ffd879d75"" target=""_blank"">Reinvent: Train Initial Generative Model for Prior/Agent</a> ) by generating a vocabulary based on your SMILES training data. The vocabulary defines what tokens the model can propose, which directly controls the possible atom types in the SMILES output. The output of this app (empty_model.ckpt) will be the input for the next app (<a href=""https://app.superbio.ai/apps/170?id=636e0620614bfa9ffd879d75"" target=""_blank"">Reinvent: Train Initial Generative Model for Prior/Agent</a> ) that trains the generative model. Finally, the output file of the second app is what you can use in <a href=""https://app.superbio.ai/apps/181?id=637b69712ffa50c6deecda32"" target=""_blank"">Reinvent: Reinforcement Learning.</a> For more information, please see the tutorial <a href=""https://www.notion.so/superbioai/Tutorials-de96d8a4eaeb4b92901936ef9ceaf876"" target=""_blank""><span style=""color: inherit;"">page</span></a> of Reinvent Apps.<br><br><strong>Example Use Case</strong>: Generate generative model of prior/agents<br><br><strong>Limitation:</strong> At least 100.000 SMILES are recommended for creating a generative model</p>
"
